NanoHarp 250 Histogram Data			02/04/2021 11:41:20 AM
#channels per curve
1075
#display curve no.
0	1	2	3	
#memory block no.
0	1	2	3	
#ns/channel
1024.0000	1024.0000	1024.0000	1024.0000	
#counts
239	86	101	108	
224	93	129	97	
205	87	112	86	
211	88	115	81	
190	89	98	89	
194	103	99	90	
185	81	108	84	
185	71	124	88	
221	89	104	83	
199	97	105	79	
198	112	128	90	
205	90	114	84	
205	84	108	108	
209	94	122	83	
186	80	97	94	
187	88	124	89	
213	88	110	83	
208	93	128	91	
188	68	107	103	
202	85	108	85	
190	78	125	86	
203	101	97	68	
204	85	112	86	
189	74	104	81	
187	90	108	102	
201	98	103	82	
204	76	100	89	
166	76	116	94	
173	98	116	91	
177	94	100	104	
197	85	97	77	
184	79	124	80	
181	93	94	102	
183	99	98	93	
172	77	98	89	
199	91	98	76	
164	78	96	85	
191	69	99	77	
198	82	85	64	
166	75	99	88	
196	68	89	73	
181	88	88	77	
152	82	90	84	
164	77	99	95	
185	73	98	82	
174	74	97	74	
182	56	87	70	
180	79	113	93	
178	75	91	84	
195	87	101	83	
184	78	98	75	
181	79	93	81	
176	78	90	78	
180	69	75	66	
169	78	92	67	
145	80	97	65	
206	72	88	90	
160	73	106	76	
175	81	108	67	
156	63	105	84	
165	84	72	67	
153	69	83	92	
186	65	89	72	
195	48	87	82	
158	72	70	74	
159	60	86	80	
172	78	84	73	
176	75	109	71	
161	64	76	77	
166	65	85	76	
177	69	76	72	
155	76	86	61	
158	81	91	74	
165	70	84	68	
149	74	88	76	
180	76	87	79	
168	75	74	85	
177	66	109	60	
168	60	99	77	
162	59	97	83	
139	76	88	66	
156	66	98	60	
174	69	88	74	
161	80	93	66	
147	66	92	61	
155	68	90	82	
167	54	89	79	
132	61	84	81	
137	77	79	72	
146	54	76	80	
177	79	83	70	
153	71	69	73	
143	52	100	71	
168	61	82	70	
158	59	73	81	
169	72	87	63	
167	69	70	66	
169	73	71	62	
140	68	78	75	
169	71	80	71	
171	66	88	67	
163	62	66	67	
167	64	73	60	
142	77	90	82	
132	60	80	68	
151	70	91	65	
169	75	62	71	
180	69	88	63	
154	71	84	64	
164	62	80	71	
144	62	73	62	
164	50	88	70	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
